away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id,away_team_id,home_team_id,away_team_box_score,home_team_box_score
,,,,Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Attendance: 63,411",,,401523986,23,30,"{'1': '0', '2': '14', '3': '7', '4': '7', 'total': '28'}","{'1': '7', '2': '14', '3': '21', '4': '14', 'total': '56'}"
,,,,Aviva Stadium,Dublin ,,,,,,"Attendance: 49,000",,,401525434,2426,87,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}"
,,,,,"Jacksonville, AL ",,,,,"Capacity: 24,000","Attendance: 17,982",,,401520145,2638,55,"{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}","{'1': '3', '2': '7', '3': '7', '4': '0', 'total': '17'}"
,,,,Aggie Memorial Stadium,"Las Cruces, NM ",,,,,"Capacity: 28,853","Attendance: 15,356",,,401525450,113,166,"{'1': '7', '2': '3', '3': '3', '4': '28', 'total': '41'}","{'1': '0', '2': '10', '3': '0', '4': '20', 'total': '30'}"
,,,,Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Attendance: 23,867",,,401532392,195,21,"{'1': '3', '2': '3', '3': '0', '4': '7', 'total': '13'}","{'1': '3', '2': '7', '3': '0', '4': '10', 'total': '20'}"
,,,,Joe Aillet Stadium,"Ruston, LA ",,,,,"Capacity: 28,562","Attendance: 16,299",,,401520146,2229,2348,"{'1': '14', '2': '3', '3': '0', '4': '0', 'total': '17'}","{'1': '0', '2': '13', '3': '0', '4': '9', 'total': '22'}"
,,,,FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Attendance: 21,407",,,401520147,62,238,"{'1': '7', '2': '7', '3': '0', '4': '14', 'total': '28'}","{'1': '14', '2': '7', '3': '7', '4': '7', 'total': '35'}"
,,,,Rice-Eccles Stadium,"Salt Lake City, UT ",,,,,"Capacity: 51,444","Attendance: 53,644",,,401520176,57,254,"{'1': '3', '2': '0', '3': '0', '4': '8', 'total': '11'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}"
,,,,Allegacy Federal Credit Union Stadium,"Winston-Salem, NC ",,,,,"Capacity: 31,500","Attendance: 30,028",,,401525461,2210,154,"{'1': '0', '2': '0', '3': '14', '4': '3', 'total': '17'}","{'1': '10', '2': '14', '3': '6', '4': '7', 'total': '37'}"
,,,,FBC Mortgage Stadium,"Orlando, FL ",,,,,"Capacity: 44,206","Attendance: 44,088",,,401525816,2309,2116,"{'1': '3', '2': '0', '3': '3', '4': '0', 'total': '6'}","{'1': '14', '2': '14', '3': '14', '4': '14', 'total': '56'}"
