conferenceID,divisionID,conferenceName,divisionName
1,10,American Athletic Conference,
2,11,Atlantic Coast Conference,
3,12,Big 12 Conference,
4,14,Big Ten Conference,East
4,15,Big Ten Conference,West
5,16,Conference USA,
6,17,FBS Independents,
7,19,Mid-American Conference,East
7,20,Mid-American Conference,West
8,21,Mountain West Conference,
9,22,Pac-12 Conference,
10,24,Southeastern Conference,East
10,25,Southeastern Conference,West
11,27,Sun Belt Conference,East
11,28,Sun Belt Conference,West
