away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id
23,30,"{'1': '0', '2': '14', '3': '7', '4': '7', 'total': '28'}","{'1': '7', '2': '14', '3': '21', '4': '14', 'total': '56'}",Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Capacity: 77,500",,,401523986
2426,87,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}",Aviva Stadium,Dublin ,,,,,,,,,401525434
2638,55,"{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}","{'1': '3', '2': '7', '3': '7', '4': '0', 'total': '17'}",,"Jacksonville, AL ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401520145
113,166,"{'1': '7', '2': '3', '3': '3', '4': '28', 'total': '41'}","{'1': '0', '2': '10', '3': '0', '4': '20', 'total': '30'}",Aggie Memorial Stadium,"Las Cruces, NM ",,,,,"Capacity: 28,853","Capacity: 28,853",,,401525450
195,21,"{'1': '3', '2': '3', '3': '0', '4': '7', 'total': '13'}","{'1': '3', '2': '7', '3': '0', '4': '10', 'total': '20'}",Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Capacity: 35,000",,,401532392
2229,2348,"{'1': '14', '2': '3', '3': '0', '4': '0', 'total': '17'}","{'1': '0', '2': '13', '3': '0', '4': '9', 'total': '22'}",Joe Aillet Stadium,"Ruston, LA ",,,,,"Capacity: 28,562","Capacity: 28,562",,,401520146
62,238,"{'1': '7', '2': '7', '3': '0', '4': '14', 'total': '28'}","{'1': '14', '2': '7', '3': '7', '4': '7', 'total': '35'}",FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Capacity: 40,350",,,401520147
57,254,"{'1': '3', '2': '0', '3': '0', '4': '8', 'total': '11'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}",Rice-Eccles Stadium,"Salt Lake City, UT ",,,,,"Capacity: 51,444","Capacity: 51,444",,,401520176
2210,154,"{'1': '0', '2': '0', '3': '14', '4': '3', 'total': '17'}","{'1': '10', '2': '14', '3': '6', '4': '7', 'total': '37'}",Allegacy Federal Credit Union Stadium,"Winston-Salem, NC ",,,,,"Capacity: 31,500","Capacity: 31,500",,,401525461
2309,2116,"{'1': '3', '2': '0', '3': '3', '4': '0', 'total': '6'}","{'1': '14', '2': '14', '3': '14', '4': '14', 'total': '56'}",FBC Mortgage Stadium,"Orlando, FL ",,,,,"Capacity: 44,206","Capacity: 44,206",,,401525816
227,2247,"{'1': '0', '2': '14', '3': '14', '4': '7', 'total': '35'}","{'1': '14', '2': '7', '3': '14', '4': '7', 'total': '42'}",,"Atlanta, GA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401531834
2598,2711,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '7', '2': '14', '3': '7', '4': '7', 'total': '35'}",Waldo Stadium,"Kalamazoo, MI ",,,,,"Capacity: 30,200","Capacity: 30,200",,,401532393
152,41,"{'1': '7', '2': '3', '3': '14', '4': '0', 'total': '24'}","{'1': '7', '2': '0', '3': '7', '4': '0', 'total': '14'}",Pratt & Whitney Stadium,"East Hartford, CT ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401520174
158,135,"{'1': '0', '2': '0', '3': '7', '4': '3', 'total': '10'}","{'1': '0', '2': '3', '3': '0', '4': '10', 'total': '13'}",Huntington Bank Stadium,"Minneapolis, MN ",,,,,"Capacity: 50,850","Capacity: 50,850",,,401520148
233,142,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '14', '2': '14', '3': '0', '4': '7', 'total': '35'}",Memorial Stadium/Faurot Field,"Columbia, MO ",,,,,"Capacity: 62,621","Capacity: 62,621",,,401520165
