locationID,locationName,city,state,latitude,longitude
1,"Burgess-Snow Field, Jacksonville, AL",Jacksonville,AL,33.8137163,-85.7613476
2,"Aggie Memorial Stadium, Las Cruces, NM",Las Cruces,NM,32.3140354,-106.7798078
3,"Snapdragon Stadium, San Diego, CA",San Diego,CA,32.7174202,-117.1627728
4,"FirstBank Stadium, Nashville, TN",Nashville,TN,36.1622767,-86.7742984
5,"Los Angeles Memorial Coliseum, Los Angeles, CA",Los Angeles,CA,34.0536909,-118.242766
6,"Joe Aillet Stadium, Ruston, LA",Ruston,LA,32.5232053,-92.637927
7,"Allegacy Federal Credit Union Stadium, Winston-Salem, NC",Winston-Salem,NC,36.0998131,-80.2440518
8,"FBC Mortgage Stadium, Orlando, FL",Orlando,FL,28.5421109,-81.3790304
9,"Center Parc Stadium, Atlanta, GA",Atlanta,GA,33.7489924,-84.3902644
10,"Waldo Stadium, Kalamazoo, MI",Kalamazoo,MI,42.291707,-85.5872286
11,"Pratt & Whitney Stadium, East Hartford, CT",East Hartford,CT,41.7823216,-72.6120346
12,"Huntington Bank Stadium, Minneapolis, MN",Minneapolis,MN,44.9772995,-93.2654692
13,"Memorial Stadium/Faurot Field, Columbia, MO",Columbia,MO,38.951883,-92.3337366
14,"Rice-Eccles Stadium, Salt Lake City, UT",Salt Lake City,UT,40.7596198,-111.8867975
15,"Chapman Stadium, Tulsa, OK",Tulsa,OK,36.1556805,-95.9929113
16,"Protective Stadium, Birmingham, AL",Birmingham,AL,33.5206824,-86.8024326
17,"Sun Devil Stadium, Tempe, AZ",Tempe,AZ,33.4255056,-111.9400091
18,"Rynearson Stadium, Ypsilanti, MI",Ypsilanti,MI,42.2410562,-83.613055
19,"Spartan Stadium, East Lansing, MI",East Lansing,MI,42.7320307,-84.4721678
20,"Hard Rock Stadium, Miami Gardens, FL",Miami Gardens,FL,25.9420377,-80.2456045
21,"Mercedes-Benz Stadium, Atlanta, GA",Atlanta,GA,33.7489924,-84.3902644
22,"David Booth Kansas Memorial Stadium, Lawrence, KS",Lawrence,KS,38.9719384,-95.2359496
23,"Clarence T.C. Ching Athletics Complex, Honolulu, HI",Honolulu,HI,21.304547,-157.855676
24,"Kinnick Stadium, Iowa City, IA",Iowa City,IA,41.6612561,-91.5299106
25,"Kroger Field, Lexington, KY",Lexington,KY,38.0464066,-84.4970393
26,"Williams Stadium (VA), Lynchburg, VA",Lynchburg,VA,37.4137536,-79.1422464
27,"Michigan Stadium, Ann Arbor, MI",Ann Arbor,MI,42.2681569,-83.7312291
28,"Ross-Ade Stadium, West Lafayette, IN",West Lafayette,IN,40.4258686,-86.9080655
29,"Gerald J. Ford Stadium, Dallas, TX",Dallas,TX,32.7762719,-96.7968559
30,"Nissan Stadium, Nashville, TN",Nashville,TN,36.1622767,-86.7742984
31,"Amon G. Carter Stadium, Fort Worth, TX",Fort Worth,TX,32.753177,-97.3327459
32,"Alumni Stadium (Chestnut Hill, MA), Chestnut Hill, MA",Chestnut Hill,MA,42.3306529,-71.1661647
33,"Memorial Stadium (Norman, OK), Norman, OK",Norman,OK,35.2225717,-97.4394816
34,"Vaught-Hemingway Stadium, Oxford, MS",Oxford,MS,34.3663773,-89.5187664
35,"Jack Trice Stadium, Ames, IA",Ames,IA,42.0267567,-93.6170448
36,"Lincoln Financial Field, Philadelphia, PA",Philadelphia,PA,39.9527237,-75.1635262
37,"Peden Stadium, Athens, OH",Athens,OH,39.3289242,-82.1012479
38,"Falcon Stadium, USAF Academy, CO",USAF Academy,CO,38.99705645,-104.84364992062919
39,"Autzen Stadium, Eugene, OR",Eugene,OR,44.0505054,-123.0950506
40,"Jordan-Hare Stadium, Auburn, AL",Auburn,AL,32.6098566,-85.4807825
41,"Memorial Stadium (Bloomington, IN), Bloomington, IN",Bloomington,IN,39.1670396,-86.5342881
42,"SECU Stadium, College Park, MD",College Park,MD,38.980666,-76.9369189
43,"Camp Randall Stadium, Madison, WI",Madison,WI,43.074761,-89.3837613
44,"Houchens Industries-L.T. Smith Stadium, Bowling Green, KY",Bowling Green,KY,36.9903199,-86.4436018
45,"Husky Stadium, Seattle, WA",Seattle,WA,47.6038321,-122.3300624
46,"Notre Dame Stadium, Notre Dame, IN",Notre Dame,IN,41.6992003,-86.2373691
47,"Acrisure Stadium, Pittsburgh, PA",Pittsburgh,PA,40.4416941,-79.9900861
48,"Nippert Stadium, Cincinnati, OH",Cincinnati,OH,39.1014537,-84.5124602
49,"DKR-Texas Memorial Stadium, Austin, TX",Austin,TX,30.2711286,-97.7436995
50,"Kidd Brewer Stadium, Boone, NC",Boone,NC,36.2165362,-81.6746158
51,"War Memorial Stadium (AR), Little Rock, AR",Little Rock,AR,34.7465071,-92.2896267
52,"Davis Wade Stadium, Starkville, MS",Starkville,MS,33.4503998,-88.8183872
53,"Apogee Stadium, Denton, TX",Denton,TX,33.2150386,-97.1330516
54,"JMA Wireless Dome, Syracuse, NY",Syracuse,NY,43.0481221,-76.1474244
55,"Allegiant Stadium, Las Vegas, NV",Las Vegas,NV,36.1672559,-115.148516
56,"Sanford Stadium, Athens, GA",Athens,GA,33.9597677,-83.376398
57,"Jerry Richardson Stadium, Charlotte, NC",Charlotte,NC,35.2272086,-80.8430827
58,"FAU Stadium, Boca Raton, FL",Boca Raton,FL,26.3586885,-80.0830984
59,"Allen E. Paulson Stadium, Statesboro, GA",Statesboro,GA,32.4490141,-81.7832912
60,"Bridgeforth Stadium/Zane Showker Field, Harrisonburg, VA",Harrisonburg,VA,38.4493315,-78.8688833
61,"Joan C. Edwards Stadium, Huntington, WV",Huntington,WV,38.4192496,-82.445154
62,"Riccardo Silva Stadium, Miami, FL",Miami,FL,25.7741728,-80.19362
63,"Kyle Field, College Station, TX",College Station,TX,30.5955289,-96.3071042
64,"Malone Stadium, Monroe, LA",Monroe,LA,32.5093109,-92.1193012
65,"Canvas Stadium, Fort Collins, CO",Fort Collins,CO,40.5508527,-105.0668085
66,"McLane Stadium, Waco, TX",Waco,TX,31.549333,-97.1466695
67,"TDECU Stadium, Houston, TX",Houston,TX,29.7589382,-95.3676974
68,"Bill Snyder Family Stadium, Manhattan, KS",Manhattan,KS,39.1836082,-96.5716694
