game_id,league,away_team,home_team,location,tv_coverage,betting_line,betting_over_under,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date,game_month,game_day,game_year
401628447,CFB,2483,62,1,,,,,,,,,,,,,,,,,,,TBD,"August 24, 2024",8.0,24.0,2024.0
401635525,CFB,52,59,2,,,,,,,,,,,,,,,,,,,TBD,"August 24, 2024",8.0,24.0,2024.0
401628448,CFB,153,135,3,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401628581,CFB,2448,154,4,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401628582,CFB,160,2116,5,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401634299,CFB,2717,152,6,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401636606,CFB,2815,2305,7,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401636607,CFB,253,254,8,,,,,,,,,,,,,,,,,,,TBD,"August 29, 2024",8.0,29.0,2024.0
401628584,CFB,2210,150,9,,,,,,,,,,,,,,,,,,,TBD,"August 30, 2024",8.0,30.0,2024.0
401634300,CFB,2628,24,10,,,,,,,,,,,,,,,,,,,TBD,"August 30, 2024",8.0,30.0,2024.0
401628319,CFB,98,333,11,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628320,CFB,2029,8,12,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628321,CFB,2010,2,13,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628322,CFB,2390,57,14,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628323,CFB,61,228,15,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628324,CFB,2572,96,16,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628325,CFB,231,145,17,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628326,CFB,2198,344,18,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628327,CFB,93,142,19,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628328,CFB,218,201,20,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628329,CFB,295,2579,21,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628330,CFB,236,2633,22,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628331,CFB,36,251,23,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628332,CFB,87,245,24,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628333,CFB,259,238,25,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628449,CFB,2229,84,26,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628450,CFB,2287,2294,27,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628451,CFB,41,120,28,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628452,CFB,278,130,29,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628453,CFB,2226,127,30,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628454,CFB,2638,158,31,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628455,CFB,2006,194,32,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628456,CFB,70,2483,33,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628457,CFB,213,277,34,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628458,CFB,47,164,35,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628459,CFB,26,62,1,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628460,CFB,2692,264,36,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628461,CFB,2711,275,37,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628586,CFB,2097,2335,38,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628589,CFB,257,258,39,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628590,CFB,2619,276,40,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628591,CFB,119,2132,41,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401629039,CFB,2199,113,42,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401632062,CFB,2046,97,43,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401632064,CFB,2110,2032,44,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634133,CFB,2193,2026,45,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634169,CFB,282,2509,46,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634197,CFB,155,66,47,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634206,CFB,2449,38,48,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634212,CFB,2571,197,49,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634240,CFB,79,252,50,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634301,CFB,302,25,51,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634302,CFB,2247,59,52,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634303,CFB,2277,2567,53,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634304,CFB,195,183,54,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401634305,CFB,2309,221,55,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636363,CFB,2065,58,56,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636380,CFB,2755,309,57,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636387,CFB,2296,2433,58,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636608,CFB,167,12,59,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636609,CFB,2751,9,60,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636610,CFB,2627,239,61,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636611,CFB,2439,248,62,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636612,CFB,2630,2306,63,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401636613,CFB,2000,2641,64,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401637159,CFB,2502,265,65,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401640998,CFB,324,55,66,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401641007,CFB,2447,2348,67,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401641015,CFB,338,2636,68,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401641023,CFB,2635,2393,69,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401641032,CFB,2546,166,70,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401641039,CFB,2534,242,71,,,,,,,,,,,,,,,,,,,TBD,"August 31, 2024",8.0,31.0,2024.0
401628334,CFB,99,30,72,,,,,,,,,,,,,,,,,,,7:30 PM,"September 1, 2024",9.0,1.0,2024.0
401634306,CFB,103,52,73,,,,,,,,,,,,,,,,,,,TBD,"September 2, 2024",9.0,2.0,2024.0
401634765,CFB,252,2567,53,,,,,,,,,,,,,,,,,,,TBD,"September 6, 2024",9.0,6.0,2024.0
401628335,CFB,58,333,11,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628336,CFB,8,197,49,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628337,CFB,25,2,13,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628338,CFB,2535,57,14,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628339,CFB,2635,61,74,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628340,CFB,2579,96,16,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628341,CFB,2447,99,75,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628342,CFB,2393,145,17,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628343,CFB,344,9,60,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628344,CFB,2084,142,19,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628345,CFB,248,201,20,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628346,CFB,2633,152,76,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628347,CFB,251,130,29,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628348,CFB,2377,245,24,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628349,CFB,2016,238,25,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628462,CFB,2305,356,77,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628463,CFB,2710,84,26,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628464,CFB,66,2294,27,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628465,CFB,127,120,28,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628466,CFB,227,135,3,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628467,CFB,38,158,31,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628468,CFB,2711,194,32,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628469,CFB,68,2483,33,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628470,CFB,189,213,78,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628471,CFB,2006,164,35,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628472,CFB,328,30,79,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628473,CFB,2199,264,36,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628474,CFB,233,275,37,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628593,CFB,399,277,34,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628603,CFB,2729,324,80,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401628977,CFB,2459,87,81,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401629040,CFB,113,2649,82,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401632068,CFB,2198,98,83,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401632071,CFB,3101,2439,72,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401632072,CFB,253,2638,84,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401632459,CFB,236,2247,85,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401634181,CFB,2623,2050,86,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635531,CFB,2184,103,87,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635532,CFB,2026,228,88,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635533,CFB,150,77,89,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635534,CFB,59,183,54,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635535,CFB,55,97,43,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635536,CFB,50,2390,90,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635537,CFB,2429,153,91,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635538,CFB,221,2132,41,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635539,CFB,13,24,10,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635540,CFB,276,259,92,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401635639,CFB,258,154,4,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401636614,CFB,2464,12,59,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401636615,CFB,2341,2628,93,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
401636616,CFB,2306,2655,94,,,,,,,,,,,,,,,,,,,TBD,"September 7, 2024",9.0,7.0,2024.0
