league,location_id,stadium,stadium_capacity,city,state,latitude,longitude
CFB,1,Clarence T.C. Ching Athletics Complex,,Honolulu,HI,21.2942909,-157.81712089406557
CFB,2,Aviva Stadium,,Dublin ,,53.3352254,-6.2281850790431115
CFB,3,University Stadium (NM),,Albuquerque,NM,35.0669629,-106.6282450621233
CFB,4,Mackay Stadium,,Reno,NV,39.5468915,-119.81739798009238
CFB,5,CEFCU Stadium,,San Jose,CA,37.319689499999996,-121.86831393740505
CFB,6,SHI Stadium,,Piscataway,NJ,40.513503650000004,-74.46424350578357
CFB,7,Allegacy Federal Credit Union Stadium,,Winston-Salem,NC,,
CFB,8,FBC Mortgage Stadium,,Orlando,FL,28.60831635,-81.19262425165596
CFB,9,Carter-Finley Stadium,,Raleigh,NC,35.800846449999995,-78.71960451582763
CFB,10,Malone Stadium,,Monroe,LA,32.530899250000004,-92.06603958121342
CFB,11,UB Stadium,,Buffalo,NY,42.999058649999995,-78.77744130513912
CFB,12,Doyt L. Perry Stadium,,Bowling Green,OH,41.3780256,-83.62249751671973
CFB,13,Kelly/Shorts Stadium,,Mount Pleasant,MI,43.57762285,-84.77105139145428
CFB,14,War Memorial Stadium (AR),,Little Rock,AR,34.7498294,-92.3301284742888
CFB,15,Glass Bowl,,Toledo,OH,,
CFB,16,Memorial Stadium/Faurot Field,,Columbia,MO,38.93571765,-92.33235844274179
CFB,17,Huntington Bank Stadium,,Minneapolis,MN,44.97653965,-93.2231906824895
CFB,18,Folsom Field,,Boulder,CO,40.009388799999996,-105.2660794290957
CFB,19,Children's Mercy Park,,Kansas City,KS,39.1216438,-94.82335037131475
CFB,20,Burgess-Snow Field,,Jacksonville,AL,33.8203642,-85.76629210029542
CFB,21,Protective Stadium,,Birmingham,AL,33.5275724,-86.80906255479098
CFB,22,Yulman Stadium,,New Orleans,LA,29.94465095,-90.11605108688298
CFB,23,Chapman Stadium,,Tulsa,OK,33.79430875,-117.85098443268058
CFB,24,Rice-Eccles Stadium,,Salt Lake City,UT,40.75985365,-111.84891949263991
CFB,25,"Memorial Stadium (Champaign, IL)",,Champaign,IL,40.09928615,-88.23674977880262
CFB,26,Michie Stadium,,West Point,NY,41.3875623,-73.96418970621724
CFB,27,"Memorial Stadium (Norman, OK)",,Norman,OK,35.2056786,-97.441540475
CFB,28,Spartan Stadium,,East Lansing,MI,37.319689499999996,-121.86831393740505
CFB,29,Wallace Wade Stadium,,Durham,NC,35.995445849999996,-78.94188924076411
CFB,30,Camp Randall Stadium,,Madison,WI,43.07007075,-89.41185545675701
CFB,31,Stanford Stadium,,Stanford,CA,37.43453005,-122.16116296732366
CFB,32,"Memorial Stadium (Bloomington, IN)",,Bloomington,IN,39.18100645,-86.52645547483547
CFB,33,SECU Stadium,,College Park,MD,38.99029865,-76.94745341520814
CFB,34,"Memorial Stadium (Lincoln, NE)",,Lincoln,NE,40.820717900000005,-96.70475616344208
CFB,35,Ohio Stadium,,Columbus,OH,40.00164575,-83.01973744224524
CFB,36,Milan Puskar Stadium,,Morgantown,WV,39.650184249999995,-79.95498766705104
CFB,37,Snapdragon Stadium,,San Diego,CA,32.78418875,-117.12169820746657
CFB,38,Maverik Stadium,,Logan,UT,41.7519374,-111.81167027148372
CFB,39,Lanny and Sharon Martin Stadium,,Evanston,IL,42.058439050000004,-87.67079222537814
CFB,40,Mercedes-Benz Stadium,,Atlanta,GA,33.7554123,-84.40084932004368
CFB,41,FirstBank Stadium,,Nashville,TN,36.1439196,-86.80892051257632
CFB,42,Kinnick Stadium,,Iowa City,IA,41.658624599999996,-91.55119153525328
CFB,43,L&N Federal Credit Union Stadium,,Louisville,KY,50.9358672,22.8307732
CFB,44,Ross-Ade Stadium,,West Lafayette,IN,40.434431849999996,-86.91774818394232
CFB,45,Acrisure Stadium,,Pittsburgh,PA,40.4467166,-80.01574564331888
CFB,46,Navy-Marine Corps Memorial Stadium,,Annapolis,MD,38.9847567,-76.50707648829473
CFB,47,Neyland Stadium,,Knoxville,TN,35.9550818,-83.92507993491228
CFB,48,Boone Pickens Stadium,,Stillwater,OK,36.1256929,-97.06686984320964
CFB,49,Nippert Stadium,,Cincinnati,OH,39.131121300000004,-84.51622983928571
CFB,50,Gesa Field,,Pullman,WA,46.7318286,-117.1604394
CFB,51,Ben Hill Griffin Stadium,,Gainesville,FL,29.65003685,-82.34876660813043
CFB,52,DKR-Texas Memorial Stadium,,Austin,TX,,
CFB,53,Warren McGuirk Alumni Stadium,,Amherst,MA,42.3772457,-72.53604564191687
CFB,54,Kidd Brewer Stadium,,Boone,NC,36.21148865,-81.68557170976591
CFB,55,Jack Trice Stadium,,Ames,IA,42.0138183,-93.63496890586613
CFB,56,JMA Wireless Dome,,Syracuse,NY,43.03628365,-76.13636031709831
CFB,57,Alamodome,,San Antonio,TX,29.4168923,-98.47889487569296
CFB,58,Falcon Stadium,,USAF Academy,CO,38.99705645,-104.84364992062919
CFB,59,Huskie Stadium,,Dekalb,IL,41.9340747,-88.77797014280206
CFB,60,Allen E. Paulson Stadium,,Statesboro,GA,32.4121444,-81.7833368417609
CFB,61,Williams-Brice Stadium,,Columbia,SC,33.9730451,-81.01911803445861
CFB,62,Joan C. Edwards Stadium,,Huntington,WV,38.4248685,-82.42100877672945
CFB,63,California Memorial Stadium,,Berkeley,CA,37.8709949,-122.25073605072417
CFB,64,Hancock Whitney Stadium,,Mobile,AL,30.69693195,-88.19201804075955
CFB,65,Davis Wade Stadium,,Starkville,MS,33.4564527,-88.79340364607509
CFB,66,Williams Stadium (VA),,Lynchburg,VA,37.354307500000004,-79.17491957847966
CFB,67,Scott Stadium,,Charlottesville,VA,38.0309252,-78.5136104402374
CFB,68,Dowdy-Ficklen Stadium,,Greenville,NC,35.59646385,-77.36530572562913
CFB,69,Reser Stadium,,Corvallis,OR,44.5596691,-123.28115667088991
CFB,70,Bryant-Denny Stadium,,Tuscaloosa,AL,33.2076889,-87.55043991303114
CFB,71,Vaught-Hemingway Stadium,,Oxford,MS,34.36198175,-89.53415232515685
CFB,72,Centennial Bank Stadium,,Jonesboro,AR,35.84885975,-90.66718138858229
CFB,73,Raymond James Stadium,,Tampa,FL,27.97597925,-82.50421799673616
CFB,74,McLane Stadium,,Waco,TX,31.558208999999998,-97.1164471867892
CFB,75,TDECU Stadium,,Houston,TX,29.72192555,-95.34827603717156
CFB,76,Bill Snyder Family Stadium,,Manhattan,KS,39.2020422,-96.59379777438603
CFB,77,"Johnny ""Red"" Floyd Stadium",,Murfreesboro,TN,35.85128735,-86.36823862876923
CFB,78,Rice Stadium,,Houston,TX,29.7163227,-95.40932454846403
CFB,79,Veterans Memorial Stadium (AL),,Troy,AL,31.7996004,-85.95196331820388
CFB,80,Simmons Bank Liberty Stadium,,Memphis,TN,35.12113045,-89.97741528770362
CFB,81,Jordan-Hare Stadium,,Auburn,AL,32.602161550000005,-85.48916131431398
CFB,82,Kyle Field,,College Station,TX,30.6098548,-96.34138739504806
CFB,83,Michigan Stadium,,Ann Arbor,MI,42.2658652,-83.74868376764053
CFB,84,Autzen Stadium,,Eugene,OR,44.058217799999994,-123.0684379319035
CFB,85,Jones AT&T Stadium,,Lubbock,TX,48.204466,15.6240906
CFB,86,Kroger Field,,Lexington,KY,38.02273485,-84.50511922326672
CFB,87,LaVell Edwards Stadium,,Provo,UT,40.257528300000004,-111.6545580032379
CFB,88,Bobby Dodd Stadium,,Atlanta,GA,33.772476,-84.39295889500981
CFB,89,Gerald J. Ford Stadium,,Dallas,TX,32.838058700000005,-96.78345776612298
CFB,90,Cajun Field,,Lafayette,LA,30.21587275,-92.04173596347152
CFB,91,Joe Aillet Stadium,,Ruston,LA,32.532013649999996,-92.65593967695996
CFB,92,Jerry Richardson Stadium,,Charlotte,NC,35.310474049999996,-80.74007562138678
CFB,93,Bobcat Stadium (TX),,San Marcos,TX,29.891059249999998,-97.92555336904766
