name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
Oregon,Ducks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png,Pac-12,2483,0.0,0.0,0.0,0.0,0.0,0.0
Florida State,Seminoles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png,ACC,52,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,Tar Heels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png,ACC,153,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina A&T,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png,CAA,2448,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/160.png,CAA,160,0.0,0.0,0.0,0.0,0.0,0.0
Western Carolina,Catamounts,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2717.png,Southern,2717,0.0,0.0,0.0,0.0,0.0,0.0
Elon,Phoenix,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png,CAA,2210,0.0,0.0,0.0,0.0,0.0,0.0
TCU,Horned Frogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png,Big 12,2628,0.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky,Hilltoppers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png,CUSA,98,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas-Pine Bluff,Golden Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png,SWAC,2029,0.0,0.0,0.0,0.0,0.0,0.0
Alabama A&M,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png,SWAC,2010,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,ACC,2390,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png,SEC,61,0.0,0.0,0.0,0.0,0.0,0.0
Southern Miss,Golden Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png,Sun Belt,2572,0.0,0.0,0.0,0.0,0.0,0.0
Furman,Paladins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png,Southern,231,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Kentucky,Colonels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png,UAC,2198,0.0,0.0,0.0,0.0,0.0,0.0
Murray State,Racers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png,MVFC,93,0.0,0.0,0.0,0.0,0.0,0.0
Temple,Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png,American,218,0.0,0.0,0.0,0.0,0.0,0.0
