game_id,league,away_team,home_team,location,tv_coverage,betting_line,betting_over_under,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date,game_month,game_day,game_year
401635525,CFB,52,59,1,Coverage: ESPN,,,47998,,,8,6,0,7,0.0,21,7,7,0,10,0.0,24,12:00 PM,"August 24, 2024",8.0,24.0,2024.0
401643697,CFB,147,167,2,Coverage: FS1,,,17314,,,0,14,0,21,0.0,35,10,14,7,0,0.0,31,4:00 PM,"August 24, 2024",8.0,24.0,2024.0
401643696,CFB,2567,2440,3,Coverage: CBSSN,,,20263,,,0,10,3,16,0.0,29,7,10,7,0,0.0,24,8:00 PM,"August 24, 2024",8.0,24.0,2024.0
401643858,CFB,2169,62,4,,,,12206,,,0,7,7,0,0.0,14,14,0,7,14,0.0,35,11:59 PM,"August 24, 2024",8.0,24.0,2024.0
401628327,CFB,93,142,5,Coverage: SEC Network,,,62621,,,0,0,0,0,0.0,0,28,7,10,6,0.0,51,8:00 PM,"August 29, 2024",8.0,29.0,2024.0
401636607,CFB,253,254,6,Coverage: ESPN+,,,52210,,,0,0,0,0,0.0,0,7,28,7,7,0.0,49,9:00 PM,"August 29, 2024",8.0,29.0,2024.0
401636606,CFB,2815,2305,7,Coverage: ESPN+,,,20829,,,0,0,0,3,0.0,3,7,27,7,7,0.0,48,8:00 PM,"August 29, 2024",8.0,29.0,2024.0
401634299,CFB,2717,152,8,Coverage: ACC Network,,,56919,,,14,0,7,0,0.0,21,7,7,3,21,0.0,38,7:32 PM,"August 29, 2024",8.0,29.0,2024.0
401628458,CFB,47,164,9,Coverage: BTN,,,47803,,,0,7,0,0,0.0,7,7,10,14,13,0.0,44,6:00 PM,"August 29, 2024",8.0,29.0,2024.0
401628581,CFB,2448,154,10,Coverage: ACC Extra/ESPN+,,,29450,,,7,3,0,3,0.0,13,7,10,21,7,0.0,45,7:00 PM,"August 29, 2024",8.0,29.0,2024.0
