league,location_id,stadium,city,state,latitude,longitude
CFB,1,Aviva Stadium,Dublin ,,53.335233099999996,53.335233099999996
CFB,2,Huntington Bank Stadium,Minneapolis,MN,,
CFB,3,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,,
CFB,4,FBC Mortgage Stadium,Orlando,FL,,
CFB,5,Carter-Finley Stadium,Raleigh,NC,,
CFB,6,Wallace Wade Stadium,Durham,NC,,
CFB,7,Stanford Stadium,Stanford,CA,,
CFB,8,Bryant-Denny Stadium,Tuscaloosa,AL,,
CFB,9,Jordan-Hare Stadium,Auburn,AL,,
CFB,10,Ben Hill Griffin Stadium,Gainesville,FL,,
CFB,11,Mercedes-Benz Stadium,Atlanta,GA,,
CFB,12,Kroger Field,Lexington,KY,,
CFB,13,Vaught-Hemingway Stadium,Oxford,MS,,
CFB,14,Davis Wade Stadium,Starkville,MS,,
CFB,15,Memorial Stadium/Faurot Field,Columbia,MO,,
CFB,16,"Memorial Stadium (Norman, OK)",Norman,OK,,
CFB,17,Williams-Brice Stadium,Columbia,SC,,
CFB,18,Neyland Stadium,Knoxville,TN,,
CFB,19,DKR-Texas Memorial Stadium,Austin,TX,,
CFB,20,Kyle Field,College Station,TX,,
CFB,21,FirstBank Stadium,Nashville,TN,,
CFB,22,"Memorial Stadium (Bloomington, IN)",Bloomington,IN,,
CFB,23,Kinnick Stadium,Iowa City,IA,,
CFB,24,SECU Stadium,College Park,MD,,
CFB,25,Michigan Stadium,Ann Arbor,MI,,
CFB,26,Spartan Stadium,East Lansing,MI,,
CFB,27,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,,
CFB,28,Ohio Stadium,Columbus,OH,,
CFB,29,Autzen Stadium,Eugene,OR,,
CFB,30,Milan Puskar Stadium,Morgantown,WV,,
CFB,31,SHI Stadium,Piscataway,NJ,,
CFB,32,Husky Stadium,Seattle,WA,,
CFB,33,Camp Randall Stadium,Madison,WI,,
CFB,34,Scott Stadium,Charlottesville,VA,,
CFB,35,Joan C. Edwards Stadium,Huntington,WV,,
CFB,36,Nippert Stadium,Cincinnati,OH,,
CFB,37,Warren McGuirk Alumni Stadium,Amherst,MA,,
CFB,38,Cardinal Stadium,Louisville,KY,,
CFB,39,Centennial Bank Stadium,Jonesboro,AR,,
CFB,40,Rice-Eccles Stadium,Salt Lake City,UT,,
CFB,41,Kidd Brewer Stadium,Boone,NC,,
CFB,42,Ross-Ade Stadium,West Lafayette,IN,,
CFB,43,Jack Trice Stadium,Ames,IA,,
CFB,44,Folsom Field,Boulder,CO,,
CFB,45,Boone Pickens Stadium,Stillwater,OK,,
CFB,46,LaVell Edwards Stadium,Provo,UT,,
CFB,47,California Memorial Stadium,Berkeley,CA,,
CFB,48,Bobby Dodd Stadium,Atlanta,GA,,
CFB,49,Gerald J. Ford Stadium,Dallas,TX,,
CFB,50,JMA Wireless Dome,Syracuse,NY,,
CFB,51,Acrisure Stadium,Pittsburgh,PA,,
CFB,52,Allegiant Stadium,Las Vegas,NV,,
CFB,53,Doak Campbell Stadium,Tallahassee,FL,,
CFB,54,Sanford Stadium,Athens,GA,,
CFB,55,Tiger Stadium (LA),Baton Rouge,LA,,
CFB,56,Mountain America Stadium,Tempe,AZ,,
CFB,57,Bank of America Stadium,Charlotte,NC,,
CFB,58,"Memorial Stadium (Champaign, IL)",Champaign,IL,,
CFB,59,Beaver Stadium,University Park,PA,,
CFB,60,Los Angeles Memorial Coliseum,Los Angeles,CA,,
CFB,61,Notre Dame Stadium,Notre Dame,IN,,
CFB,62,Glass Bowl,Toledo,OH,,
CFB,63,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY,,
CFB,64,Sun Bowl,El Paso,TX,,
CFB,65,Scheumann Stadium,Muncie,IN,,
CFB,66,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,,
CFB,67,"Memorial Stadium (Clemson, SC)",Clemson,SC,,
CFB,68,Ryan Field,Evanston,IL,,
CFB,69,Hard Rock Stadium,Miami Gardens,FL,,
CFB,70,Kenan Stadium,Chapel Hill,NC,,
CFB,71,Lane Stadium,Blacksburg,VA,,
CFB,72,Razorback Stadium,Fayetteville,AR,,
CFB,73,Rose Bowl,Pasadena,CA,,
CFB,74,Reser Stadium,Corvallis,OR,,
CFB,75,Lumen Field,Seattle,WA,,
CFB,76,UB Stadium,Buffalo,NY,,
CFB,77,S.B. Ballard Stadium,Norfolk,VA,,
CFB,78,Riccardo Silva Stadium,Miami,FL,,
CFB,79,Pratt & Whitney Stadium,East Hartford,CT,,
CFB,80,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,,
CFB,81,Raymond James Stadium,Tampa,FL,,
CFB,82,AT&T Stadium,Arlington,TX,,
CFB,83,Yager Stadium,Oxford,OH,,
CFB,84,Huskie Stadium,Dekalb,IL,,
CFB,85,MetLife Stadium,East Rutherford,NJ,40.81352375,40.81352375
CFB,86,EverBank Stadium,Jacksonville,FL,,
CFB,87,Protective Stadium,Birmingham,AL,,
CFB,88,CEFCU Stadium,San Jose,CA,37.319689499999996,37.319689499999996
MLB,1,Yankee Stadium,Bronx,New York,40.82958275,40.82958275
MLB,2,Nationals Park,Washington,District of Columbia,,
MLB,3,Busch Stadium,St. Louis,Missouri,,
MLB,4,Wrigley Field,Chicago,Illinois,,
MLB,5,Oakland Coliseum,Oakland,California,,
MLB,6,PNC Park,Pittsburgh,Pennsylvania,,
MLB,7,Rogers Centre,Toronto,Ontario,,
MLB,8,Oriole Park at Camden Yards,Baltimore,Maryland,,
MLB,9,Truist Park,Atlanta,Georgia,,
MLB,10,Petco Park,San Diego,California,,
MLB,11,Fenway Park,Boston,Massachusetts,,
MLB,12,loanDepot park,Miami,Florida,,
MLB,13,Progressive Field,Cleveland,Ohio,,
MLB,14,Guaranteed Rate Field,Chicago,Illinois,,
MLB,15,Kauffman Stadium,Kansas City,Missouri,,
MLB,16,Target Field,Minneapolis,Minnesota,,
MLB,17,T-Mobile Park,Seattle,Washington,,
MLB,18,Dodger Stadium,Los Angeles,California,,
MLB,19,Citizens Bank Park,Philadelphia,Pennsylvania,,
MLB,20,Coors Field,Denver,Colorado,,
MLB,21,Comerica Park,Detroit,Michigan,,
MLB,22,Great American Ball Park,Cincinnati,Ohio,,
MLB,23,American Family Field,Milwaukee,Wisconsin,,
MLB,24,Chase Field,Phoenix,Arizona,,
MLB,25,Minute Maid Park,Houston,Texas,,
MLB,26,Tropicana Field,St. Petersburg,Florida,,
MLB,27,Globe Life Field,Arlington,Texas,,
MLB,28,Angel Stadium,Anaheim,California,,
MLB,29,Oracle Park,San Francisco,California,,
MLB,30,Citi Field,Queens,New York,,
