team_id,league,name,mascot,primary_color,secondary_color,accent_color,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
bos,NBA,Boston,Celtics,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
0,NBA,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
min,NBA,Minnesota,Timberwolves,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png,Northwest,0.0,0.0,0.0,0.0,0.0,0.0
gs,NBA,Golden State,Warriors,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png,Pacific,0.0,0.0,0.0,0.0,0.0,0.0
den,NBA,Denver,Nuggets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png,Northwest,0.0,0.0,0.0,0.0,0.0,0.0
ny,NBA,New York,Knicks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
wsh,NBA,Washington,Wizards,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png,Southeast,0.0,0.0,0.0,0.0,0.0,0.0
mil,NBA,Milwaukee,Bucks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png,Central,0.0,0.0,0.0,0.0,0.0,0.0
phx,NBA,Phoenix,Suns,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png,Pacific,0.0,0.0,0.0,0.0,0.0,0.0
orl,NBA,Orlando,Magic,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,Southeast,0.0,0.0,0.0,0.0,0.0,0.0
mem,NBA,Memphis,Grizzlies,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png,Southwest,0.0,0.0,0.0,0.0,0.0,0.0
okc,NBA,Oklahoma City,Thunder,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png,Northwest,0.0,0.0,0.0,0.0,0.0,0.0
hou,NBA,Houston,Rockets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png,Southwest,0.0,0.0,0.0,0.0,0.0,0.0
mia,NBA,Miami,Heat,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png,Southeast,0.0,0.0,0.0,0.0,0.0,0.0
chi,NBA,Chicago,Bulls,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png,Central,0.0,0.0,0.0,0.0,0.0,0.0
ind,NBA,Indiana,Pacers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png,Central,0.0,0.0,0.0,0.0,0.0,0.0
bkn,NBA,Brooklyn,Nets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
atl,NBA,Atlanta,Hawks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png,Southeast,0.0,0.0,0.0,0.0,0.0,0.0
utah,NBA,Utah,Jazz,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png,Northwest,0.0,0.0,0.0,0.0,0.0,0.0
cha,NBA,Charlotte,Hornets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png,Southeast,0.0,0.0,0.0,0.0,0.0,0.0
lal,NBA,Los Angeles,Lakers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png,Pacific,0.0,0.0,0.0,0.0,0.0,0.0
no,NBA,New Orleans,Pelicans,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png,Southwest,0.0,0.0,0.0,0.0,0.0,0.0
tor,NBA,Toronto,Raptors,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
phi,NBA,Philadelphia,76ers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
sac,NBA,Sacramento,Kings,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png,Pacific,0.0,0.0,0.0,0.0,0.0,0.0
det,NBA,Detroit,Pistons,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png,Central,0.0,0.0,0.0,0.0,0.0,0.0
por,NBA,Portland,Trail Blazers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Northwest,0.0,0.0,0.0,0.0,0.0,0.0
dal,NBA,Dallas,Mavericks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png,Southwest,0.0,0.0,0.0,0.0,0.0,0.0
sa,NBA,San Antonio,Spurs,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png,Southwest,0.0,0.0,0.0,0.0,0.0,0.0
cle,NBA,Cleveland,Cavaliers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png,Central,0.0,0.0,0.0,0.0,0.0,0.0
lac,NBA,LA,Clippers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png,Pacific,0.0,0.0,0.0,0.0,0.0,0.0
,NBA,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
