league,location_id,stadium,stadium_capacity,city,state,latitude,longitude
NFL,1,GEHA Field at Arrowhead Stadium,,Kansas City,MO,,
NFL,2,Corinthians Arena,,Sao Paulo ,,-23.5452934,-46.474286436433154
NFL,3,Mercedes-Benz Stadium,,Atlanta,GA,33.7554123,-84.40084932004368
NFL,4,Highmark Stadium,,Orchard Park,NY,40.436238700000004,-80.00957823680824
NFL,5,Soldier Field,,Chicago,IL,41.8623356,-87.61764770075143
NFL,6,Paycor Stadium,,Cincinnati,OH,39.0954645,-84.5160488350198
NFL,7,Lucas Oil Stadium,,Indianapolis,IN,39.7590621,-86.16383761053042
NFL,8,Hard Rock Stadium,,Miami Gardens,FL,25.95790315,-80.24001919530573
NFL,9,Caesars Superdome,,New Orleans,LA,29.9510489,-90.08230762538903
NFL,10,MetLife Stadium,,East Rutherford,NJ,40.81352375,-74.07340074891175
NFL,11,SoFi Stadium,,Inglewood,CA,33.95340735,-118.33900981025587
NFL,12,Lumen Field,,Seattle,WA,47.5953459,-122.33164431196111
NFL,13,Cleveland Browns Stadium,,Cleveland,OH,41.5060559,-81.69971184525946
NFL,14,Raymond James Stadium,,Tampa,FL,27.97597925,-82.50421799673616
NFL,15,Ford Field,,Detroit,MI,42.33995675,-83.04561657403696
NFL,16,Levi's Stadium,,Santa Clara,CA,37.403158250000004,-121.96983144425579
NFL,17,AT&T Stadium,,Arlington,TX,47.59397,14.12456
NFL,18,Lambeau Field,,Green Bay,WI,44.50095825,-88.06103404376007
NFL,19,Nissan Stadium,,Nashville,TN,35.5099882,139.60638254387774
NFL,20,U.S. Bank Stadium,,Minneapolis,MN,44.9751097,-93.2593387
NFL,21,Gillette Stadium,,Foxborough,MA,42.091252600000004,-71.2644646105907
NFL,22,Commanders Field,,Landover,MD,38.9077002,-76.86332608690218
NFL,23,Bank of America Stadium,,Charlotte,NC,35.225737,-80.8527666409835
NFL,24,EverBank Stadium,,Jacksonville,FL,,
NFL,25,M&T Bank Stadium,,Baltimore,MD,2.3293744,102.2880962
NFL,26,State Farm Stadium,,Glendale,AZ,33.52779565,-112.26267190264335
NFL,27,Empower Field at Mile High,,Denver,CO,39.7434472,-105.0132309
NFL,28,NRG Stadium,,Houston,TX,29.6848581,-95.41080145326987
NFL,29,Lincoln Financial Field,,Philadelphia,PA,39.9009099,-75.16748915605905
NFL,30,Acrisure Stadium,,Pittsburgh,PA,40.4467166,-80.01574564331888
NFL,31,Allegiant Stadium,,Las Vegas,NV,36.09073585,-115.18333029577104
NFL,32,Tottenham Hotspur Stadium,,London ,,51.604157,-0.0662604100000004
NFL,33,Wembley Stadium,,London ,,51.55606945,-0.27960339379401444
NFL,34,Allianz Arena,,Munich ,,48.21880845,11.624663762591622
