team_id,league,name,mascot,primary_color,secondary_color,accent_color,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
bal,NFL,Baltimore,Ravens,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png,AFC North,0.0,0.0,0.0,0.0,0.0,0.0
gb,NFL,Green Bay,Packers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png,NFC North,0.0,0.0,0.0,0.0,0.0,0.0
pit,NFL,Pittsburgh,Steelers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png,AFC North,0.0,0.0,0.0,0.0,0.0,0.0
ari,NFL,Arizona,Cardinals,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png,NFC West,0.0,0.0,0.0,0.0,0.0,0.0
ten,NFL,Tennessee,Titans,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png,AFC South,0.0,0.0,0.0,0.0,0.0,0.0
ne,NFL,New England,Patriots,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png,AFC East,0.0,0.0,0.0,0.0,0.0,0.0
hou,NFL,Houston,Texans,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png,AFC South,0.0,0.0,0.0,0.0,0.0,0.0
jax,NFL,Jacksonville,Jaguars,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png,AFC South,0.0,0.0,0.0,0.0,0.0,0.0
car,NFL,Carolina,Panthers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png,NFC South,0.0,0.0,0.0,0.0,0.0,0.0
min,NFL,Minnesota,Vikings,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png,NFC North,0.0,0.0,0.0,0.0,0.0,0.0
lv,NFL,Las Vegas,Raiders,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lv.png,AFC West,0.0,0.0,0.0,0.0,0.0,0.0
den,NFL,Denver,Broncos,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png,AFC West,0.0,0.0,0.0,0.0,0.0,0.0
